Vendedor,Cliente,Nombre,Categoria,Material,Descripción,Presentación,Embalaje,Enero 24,Febrero 24,Marzo 24,Abril 24,Mayo 24,Junio 24,Julio 24,Agosto 24,Septiembre 24,Octubre 24,Noviembre 24,Diciembre 24,Enero 25,Febrero 25,Marzo 25,Abril 25,Mayo 25,Junio 25,Julio 25,Agosto 25,Septiembre 25,Octubre 25,Noviembre 25,Diciembre 25,Pedido1,Pedido2,Total
002,20013769,ACROPOLIS HOME STORE FERRETERIA,LINEA HOGAR,ADL0905,LIMPIADOR DE VIDRIOS 500 ML,UN,1 UN,,,,,,12.0,,,,,,,,,,,,14.4,,,,,,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,LINEA HOGAR,ADL0918,LIMPIADOR DE BANO 2 500ML,UN,1 UN,,,,,,,6.0,,,,,,,,,,,,7.2,,,,,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PEGAMENTOS,1P50186,AFRICANO 1/24 (1 X 36),1/24,CAJA 36 UN,36.0,,,,,,,,,,,,43.2,,,,,,,,,,,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PEGAMENTOS,1P50209,PEGA PARA TUBOS DE PVC 120CM3 (1X100),120 CM³,CAJA 100 UN,,,,,,,,,,,,100.0,,,,,,,,,,,,120.0,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD10013,ESMALTE PROFESIONAL NEGRO 01 GALON,GALON,CAJA 4 UN,20.0,,,8.0,,,8.0,,8.0,,4.0,12.0,24.0,,,9.6,,,9.6,,9.6,,4.8,14.4,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD10014,ESMALTE PROFESIONAL NEGRO 01 LITRO,LITRO,CAJA 6 UN,,,12.0,,,,,12.0,6.0,,12.0,,,,14.4,,,,,14.4,7.2,,14.4,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD10015,ESMALTE PROFESIONAL NEGRO 1/2 LT,1/2 LITRO,CAJA 12 UN,12.0,,,,,,12.0,,,,,,14.4,,,,,,14.4,,,,,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD10053,ESMALTE PROFESIONAL BLANCO GALON,GALON,CAJA 4 UN,20.0,,20.0,12.0,,,12.0,,8.0,,8.0,12.0,24.0,,24.0,14.4,,,14.4,,9.6,,9.6,14.4,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD10054,ESMALTE PROFESIONAL BLANCO 05 LITRO,LITRO,CAJA 6 UN,,,12.0,,,,12.0,,6.0,,12.0,,,,14.4,,,,14.4,,7.2,,14.4,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD10055,ESMALTE PROFESIONAL BLANCO 05 1/2 LITRO,1/2 LITRO,CAJA 12 UN,12.0,,,,,,,,,,,,14.4,,,,,,,,,,,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD10083,ESMALTE PROFESIONAL BL HUESO NACAR 8 GAL,GALON,CAJA 4 UN,,,4.0,4.0,,,4.0,,,,4.0,,,,4.8,4.8,,,4.8,,,,4.8,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD10084,ESMALTE PROFES.BL HUESO NACAR 8 LITRO,LITRO,CAJA 6 UN,,,,,,,6.0,,,,,6.0,,,,,,,7.2,,,,,7.2,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD10103,ESMALTE PROFESIONAL AMARILLO GALON,GALON,CAJA 4 UN,,,,,,,4.0,,,4.0,,,,,,,,,4.8,,,4.8,,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD10104,ESMALTE PROFESIONAL AMARILLO 10 LITRO,LITRO,CAJA 6 UN,,,,,,,,6.0,,,6.0,,,,,,,,,7.2,,,7.2,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD10154,ESMALTE PROFESIONAL NARANJA 15 LITRO,LITRO,CAJA 6 UN,,,,,,,,6.0,,,6.0,,,,,,,,,7.2,,,7.2,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD10163,ESMALTE PROFESIONAL ROJO GALON,GALON,CAJA 4 UN,,,4.0,,,,,,,,,,,,4.8,,,,,,,,,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD10164,ESMALTE PROFESIONAL ROJO 16 LITRO,LITRO,CAJA 6 UN,,,,,,,,6.0,,,,,,,,,,,,7.2,,,,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD10183,ESMALTE PROFESIONAL CAOBA 18 GALON,GALON,CAJA 4 UN,,,4.0,,,,8.0,4.0,,,,,,,4.8,,,,9.6,4.8,,,,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD10184,ESMALTE PROFESIONAL CAOBA 18 LITRO,LITRO,CAJA 6 UN,12.0,,,,6.0,,,,6.0,,,6.0,14.4,,,,7.2,,,,7.2,,,7.2,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD10253,ESMALTE PROFESIONAL MARFIL GALON,GALON,CAJA 4 UN,4.0,,,,8.0,,,,,,,,4.8,,,,9.6,,,,,,,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD10254,ESMALTE PROFESIONAL MARFIL 25 LITRO,LITRO,CAJA 6 UN,,,,,,,6.0,,,,,,,,,,,,7.2,,,,,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD10273,ESMALTE PROFESIONAL ROBLE CL. 27 GALON,GALON,CAJA 4 UN,4.0,,4.0,,12.0,,8.0,,,,8.0,,4.8,,4.8,,14.4,,9.6,,,,9.6,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD10274,ESMALTE PROFESIONAL ROBLE CL. 27 LITRO,LITRO,CAJA 6 UN,12.0,,,,6.0,,6.0,,,,,6.0,14.4,,,,7.2,,7.2,,,,,7.2,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD10454,ESMALTE PROFESIONAL CATERPIL. 45 LITRO,LITRO,CAJA 6 UN,6.0,,,,,,6.0,,,,,,7.2,,,,,,7.2,,,,,,,,
